library,executionTime,memoryUsage,outputSize,compressionRatio,complexityScore,operationType,documentSize,iteration,timestamp,complexityRange,throughput,memoryKB,outputSizeKB
"schema-aggregated",8.839249999999993,0,6203,2.98003382143818,8,"Add health check grace period",208152,0,2025-06-28T19:19:32.590Z,"Low",113.13,0.00,6.06
"json-diff-kit",38.66654199999999,11286996,1748749,840.1307698220531,8,"Add health check grace period",208152,0,2025-06-28T19:19:32.591Z,"Low",25.86,11022.46,1707.76
"schema-aggregated",3.333250000000021,0,11216,8.006395979669922,9,"Add watch paths,Change base path",140088,1,2025-06-28T19:19:32.591Z,"Low",300.01,0.00,10.95
"json-diff-kit",16.107417000000027,9317686,1175911,839.4088001827423,9,"Add watch paths,Change base path",140088,1,2025-06-28T19:19:32.591Z,"Low",62.08,9099.30,1148.35
"schema-aggregated",3.3484169999999835,626630,30287,33.457056061861365,34,"Add build commands,Change version history count,Change source branch,Change build type,Remove environment variable,Add experimental features,Change build type",90525,2,2025-06-28T19:19:32.591Z,"Low",298.65,611.94,29.58
"json-diff-kit",7.1189169999999535,2967789,762769,842.6059099696216,34,"Add build commands,Change version history count,Change source branch,Change build type,Remove environment variable,Add experimental features,Change build type",90525,2,2025-06-28T19:19:32.591Z,"Low",140.47,2898.23,744.89
"schema-aggregated",4.237083999999982,0,22150,10.064567723408413,17,"Change health check timeout,Add start command,Change version history count,Change environment region,Toggle CloudFront cache invalidation,Change dockerfile path",220079,3,2025-06-28T19:19:32.591Z,"Low",236.01,0.00,21.63
"json-diff-kit",32.78325000000001,0,1848034,839.7139209102186,17,"Change health check timeout,Add start command,Change version history count,Change environment region,Toggle CloudFront cache invalidation,Change dockerfile path",220079,3,2025-06-28T19:19:32.591Z,"Low",30.50,0.00,1804.72
"schema-aggregated",1.59133300000002,0,6237,9.000649397503427,3,"Change health check interval",69295,4,2025-06-28T19:19:32.591Z,"Low",628.40,0.00,6.09
"json-diff-kit",3.750333000000012,0,580745,838.0763402842919,3,"Change health check interval",69295,4,2025-06-28T19:19:32.591Z,"Low",266.64,0.00,567.13
"schema-aggregated",4.523874999999975,0,21418,9.228634706698495,27,"Add pre/post deploy commands,Add watch paths,Change base path,Modify autoscaling thresholds,Toggle sticky sessions",232082,5,2025-06-28T19:19:32.591Z,"Low",221.05,0.00,20.92
"json-diff-kit",27.86183299999999,11929324,1952820,841.4353547453055,27,"Add pre/post deploy commands,Add watch paths,Change base path,Modify autoscaling thresholds,Toggle sticky sessions",232082,5,2025-06-28T19:19:32.591Z,"Low",35.89,11649.73,1907.05
"schema-aggregated",2.677250000000015,0,6211,4.246837606837607,3,"Toggle sticky sessions",146250,6,2025-06-28T19:19:32.591Z,"Low",373.52,0.00,6.07
"json-diff-kit",13.487750000000005,6279932,1221978,835.5405128205127,3,"Toggle sticky sessions",146250,6,2025-06-28T19:19:32.591Z,"Low",74.14,6132.75,1193.34
"schema-aggregated",3.150833000000034,0,9443,5.753821968473711,16,"Add integrations,Change version history count,Remove dependencies",164117,7,2025-06-28T19:19:32.591Z,"Low",317.38,0.00,9.22
"json-diff-kit",16.975750000000005,14124594,1382308,842.269844074654,16,"Add integrations,Change version history count,Remove dependencies",164117,7,2025-06-28T19:19:32.591Z,"Low",58.91,13793.55,1349.91
"schema-aggregated",0.7814999999999941,0,26975,155.75379640856863,27,"Change sticky sessions duration,Change environment name,Add start command,Change port number,Change health check timeout,Change health check timeout,Add experimental features",17319,8,2025-06-28T19:19:32.591Z,"Low",1279.59,0.00,26.34
"json-diff-kit",0.7311660000000302,0,145439,839.7655753796408,27,"Change sticky sessions duration,Change environment name,Add start command,Change port number,Change health check timeout,Change health check timeout,Add experimental features",17319,8,2025-06-28T19:19:32.591Z,"Low",1367.68,0.00,142.03
"schema-aggregated",1.9817920000000413,0,12450,17.68315200409056,29,"Change service ID,Add experimental features,Change sticky sessions duration,Add S3 bucket policy,Remove dependencies",70406,9,2025-06-28T19:19:32.591Z,"Low",504.59,0.00,12.16
"json-diff-kit",5.303832999999997,960348,590975,839.3815867965799,29,"Change service ID,Add experimental features,Change sticky sessions duration,Add S3 bucket policy,Remove dependencies",70406,9,2025-06-28T19:19:32.591Z,"Low",188.54,937.84,577.12
"schema-aggregated",4.427208000000064,0,14372,6.31225733911913,20,"Toggle multi-AZ for RDS,Add watch paths,Change max instances",227684,10,2025-06-28T19:19:32.591Z,"Low",225.88,0.00,14.04
"json-diff-kit",29.854041999999936,12989939,1909066,838.4717415365155,20,"Toggle multi-AZ for RDS,Add watch paths,Change max instances",227684,10,2025-06-28T19:19:32.591Z,"Low",33.50,12685.49,1864.32
"schema-aggregated",1.2597919999999476,0,136423,227.72463985844723,34,"Modify autoscaling thresholds,Add experimental features,Remove environment variable,Change max instances,Change source branch,Add watch paths,Change environment ID",59907,11,2025-06-28T19:19:32.591Z,"Low",793.78,0.00,133.23
"json-diff-kit",3.310791999999992,0,505093,843.1285158662594,34,"Modify autoscaling thresholds,Add experimental features,Remove environment variable,Change max instances,Change source branch,Add watch paths,Change environment ID",59907,11,2025-06-28T19:19:32.591Z,"Low",302.04,0.00,493.25
"schema-aggregated",0.29200000000003,0,6512,66.46932734510564,22,"Add experimental features,Remove dependencies,Modify container image source",9797,12,2025-06-28T19:19:32.591Z,"Low",3424.66,0.00,6.36
"json-diff-kit",0.33437500000002274,0,81935,836.3274471777074,22,"Add experimental features,Remove dependencies,Modify container image source",9797,12,2025-06-28T19:19:32.591Z,"Low",2990.65,0.00,80.01
"schema-aggregated",4.055042000000071,0,6736,3.133445906657177,10,"Add pre/post deploy commands,Change environment name",214971,13,2025-06-28T19:19:32.591Z,"Low",246.61,0.00,6.58
"json-diff-kit",25.728541000000064,11346064,1806698,840.4380125691372,10,"Add pre/post deploy commands,Change environment name",214971,13,2025-06-28T19:19:32.591Z,"Low",38.87,11080.14,1764.35
"schema-aggregated",2.7080419999999776,0,28602,21.351627761147235,38,"Add sidecar containers,Change max instances,Add logging configuration,Toggle origin shield,Toggle sticky sessions,Add logging configuration",133957,14,2025-06-28T19:19:32.591Z,"Low",369.27,0.00,27.93
"json-diff-kit",12.257457999999929,5387293,1125610,840.2771038467569,38,"Add sidecar containers,Change max instances,Add logging configuration,Toggle origin shield,Toggle sticky sessions,Add logging configuration",133957,14,2025-06-28T19:19:32.591Z,"Low",81.58,5261.03,1099.23
